t,id,lat_deg,lon_deg,alt_m,yaw_deg
14.8,0,32.000000000,126.000000000,0.0000,0.0000
14.8,1,32.124999999,126.025294852,0.0001,270.0000
14.8,2,32.094031121,125.996487742,300.0047,220.4553
14.9,0,32.000000000,126.000000000,0.0000,0.0000
14.9,1,32.124999999,126.025263060,0.0001,270.0000
14.9,2,32.093895625,125.996347918,300.0047,221.2982
15.0,0,32.000000000,126.000000000,0.0000,0.0000
15.0,1,32.124999999,126.025231269,0.0001,270.0000
15.0,2,32.093761894,125.996205768,300.0048,222.1410
15.1,0,32.000000000,126.000000000,0.0000,0.0000
15.1,1,32.124999999,126.025199477,0.0001,270.0000
15.1,2,32.093629957,125.996061323,300.0048,222.9838
15.2,0,32.000000000,126.000000000,0.0000,0.0000
15.2,1,32.124999999,126.025167686,0.0001,270.0000
15.2,2,32.093499843,125.995914614,300.0048,223.8266
15.3,0,32.000000000,126.000000000,0.0000,0.0000
15.3,1,32.124999999,126.025135894,0.0001,270.0000
15.3,2,32.093371581,125.995765672,300.0048,224.6694
15.4,0,32.000000000,126.000000000,0.0000,0.0000
15.4,1,32.124999999,126.025104102,0.0001,270.0000
15.4,2,32.093245197,125.995614531,300.0049,225.5123
15.5,0,32.000000000,126.000000000,0.0000,0.0000
15.5,1,32.124999999,126.025072311,0.0001,270.0000
15.5,2,32.093120720,125.995461223,300.0049,226.3551
15.6,0,32.000000000,126.000000000,0.0000,0.0000
15.6,1,32.124999999,126.025040519,0.0001,270.0000
15.6,2,32.092998176,125.995305780,300.0049,227.1979
15.7,0,32.000000000,126.000000000,0.0000,0.0000
15.7,1,32.124999999,126.025008728,0.0001,270.0000
15.7,2,32.092877591,125.995148237,300.0050,228.0407
15.8,0,32.000000000,126.000000000,0.0000,0.0000
15.8,1,32.124999999,126.024976936,0.0001,270.0000
15.8,2,32.092758992,125.994988628,300.0050,228.8835
15.9,0,32.000000000,126.000000000,0.0000,0.0000
15.9,1,32.124999999,126.024945145,0.0001,270.0000
15.9,2,32.092642405,125.994826987,300.0050,229.7263
16.0,0,32.000000000,126.000000000,0.0000,0.0000
16.0,1,32.124999999,126.024913353,0.0001,270.0000
16.0,2,32.092527855,125.994663349,300.0051,230.5692
16.1,0,32.000000000,126.000000000,0.0000,0.0000
16.1,1,32.124999999,126.024881562,0.0001,270.0000
16.1,2,32.092415365,125.994497749,300.0051,231.4120
16.2,0,32.000000000,126.000000000,0.0000,0.0000
16.2,1,32.124999999,126.024849770,0.0001,270.0000
16.2,2,32.092304962,125.994330225,300.0051,232.2548
16.3,0,32.000000000,126.000000000,0.0000,0.0000
16.3,1,32.124999999,126.024817979,0.0001,270.0000
16.3,2,32.092196668,125.994160810,300.0052,233.0976
